timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519295427451,285,3 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,2,2,284,0,163
1519295427658,175,3 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,2,2,174,0,36
1519295427739,123,2 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,3,3,123,0,0
1519295427834,120,2 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,3,3,120,0,0
1519295427863,127,1 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,3,3,126,0,0
1519295427860,150,3 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,3,3,150,0,38
1519295427956,120,1 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,4,4,120,0,0
1519295427991,121,4 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,4,4,121,0,0
1519295428012,119,2 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,4,4,119,0,0
1519295428078,126,4 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,4,4,126,0,0
1519295428063,157,3 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,4,4,157,0,36
1519295428132,119,1 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,4,4,119,0,0
1519295428114,162,6 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,5,5,162,0,39
1519295428222,118,2 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,118,0,0
1519295428253,117,4 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,117,0,0
1519295428206,190,6 /ocsp,200,OK,Thread Group 1-2,text,true,,706,434,5,5,190,0,51
1519295428265,141,3 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,141,0,33
1519295428277,131,5 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,5,5,131,0,0
1519295428341,132,1 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,132,0,0
1519295428407,109,2 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,109,0,0
1519295428398,130,5 /ocsp,200,OK,Thread Group 1-2,text,true,,706,434,5,5,130,0,0
1519295428411,122,7 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,122,0,0
1519295428371,173,6 /ocsp,200,OK,Thread Group 1-3,text,true,,706,434,5,5,173,0,39
1519295428474,146,4 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,146,0,0
1519295428517,122,1 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,122,0,0
1519295428530,130,7 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,130,0,0
1519295428546,122,5 /ocsp,200,OK,Thread Group 1-3,text,true,,706,434,5,5,122,0,0
1519295428640,115,4 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,115,0,0
1519295428670,113,7 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,113,0,0
1519295428622,188,6 /ocsp,200,OK,Thread Group 1-4,text,true,,706,434,5,5,187,0,35
1519295428535,304,8 /,200,OK,Thread Group 1-1,text,true,,860,437,5,5,303,0,151
1519295428756,177,6 /ocsp,200,OK,Thread Group 1-5,text,true,,706,434,5,5,177,0,46
1519295428810,126,5 /ocsp,200,OK,Thread Group 1-4,text,true,,706,434,5,5,126,0,0
1519295428662,321,8 /,200,OK,Thread Group 1-2,text,true,,860,437,5,5,321,0,161
1519295428934,125,5 /ocsp,200,OK,Thread Group 1-5,text,true,,706,434,5,5,124,0,0
1519295428937,154,7 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,154,0,0
1519295428784,318,8 /,200,OK,Thread Group 1-3,text,true,,860,437,5,5,318,0,158
1519295429060,128,7 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,128,0,0
1519295429092,307,8 /,200,OK,Thread Group 1-4,text,true,,860,437,5,5,307,0,152
1519295429189,296,8 /,200,OK,Thread Group 1-5,text,true,,860,437,5,5,296,0,147
1519295429486,1953,9 /click,200,OK,Thread Group 1-5,text,true,,45409,1775,5,5,312,0,152
1519295428984,2483,9 /click,200,OK,Thread Group 1-2,text,true,,45409,1775,5,5,379,0,162
1519295428839,2720,9 /click,200,OK,Thread Group 1-1,text,true,,45409,1775,5,5,419,0,244
1519295429105,2457,9 /click,200,OK,Thread Group 1-3,text,true,,45409,1775,5,5,331,0,162
1519295429400,2167,9 /click,200,OK,Thread Group 1-4,text,true,,45409,1775,5,5,332,0,162
1519295431442,345,10 /,200,OK,Thread Group 1-5,text,true,,2267,428,5,5,345,0,258
1519295431563,229,10 /,200,OK,Thread Group 1-3,text,true,,2267,428,5,5,229,0,137
1519295431560,234,10 /,200,OK,Thread Group 1-1,text,true,,2267,428,5,5,234,0,141
1519295431568,225,10 /,200,OK,Thread Group 1-4,text,true,,2267,428,5,5,224,0,133
1519295431469,335,10 /,200,OK,Thread Group 1-2,text,true,,2267,428,5,5,335,0,234
1519295431789,66,11 /,200,OK,Thread Group 1-5,text,true,,318,437,5,5,66,0,35
1519295431796,60,11 /,200,OK,Thread Group 1-3,text,true,,318,437,5,5,60,0,29
1519295431796,63,11 /,200,OK,Thread Group 1-4,text,true,,318,437,5,5,63,0,32
1519295431796,66,11 /,200,OK,Thread Group 1-1,text,true,,318,437,5,5,66,0,33
1519295431806,61,11 /,200,OK,Thread Group 1-2,text,true,,318,437,5,5,61,0,30
1519295431857,38,13 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,38,0,0
1519295431858,38,13 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,37,0,0
1519295431868,33,13 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,33,0,0
1519295431861,39,13 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,39,0,0
1519295431863,43,13 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,43,0,0
1519295431897,30,14 /,200,OK,Thread Group 1-3,text,true,,318,437,5,5,30,0,0
1519295431902,33,14 /,200,OK,Thread Group 1-2,text,true,,318,437,5,5,33,0,0
1519295431904,31,14 /,200,OK,Thread Group 1-5,text,true,,318,437,5,5,31,0,0
1519295431907,32,14 /,200,OK,Thread Group 1-4,text,true,,318,437,5,5,31,0,0
1519295431907,33,14 /,200,OK,Thread Group 1-1,text,true,,318,437,5,5,33,0,0
1519295431928,62,16 /,200,OK,Thread Group 1-3,text,true,,788,438,5,5,62,0,31
1519295431936,64,16 /,200,OK,Thread Group 1-2,text,true,,788,438,5,5,64,0,30
1519295431939,62,16 /,200,OK,Thread Group 1-4,text,true,,788,438,5,5,62,0,30
1519295431937,69,16 /,200,OK,Thread Group 1-5,text,true,,788,438,5,5,69,0,34
1519295431941,66,16 /,200,OK,Thread Group 1-1,text,true,,788,438,5,5,66,0,30
1519295432007,185,17 /,200,OK,Thread Group 1-5,text,true,,913,448,5,5,185,0,172
1519295431991,204,17 /,200,OK,Thread Group 1-3,text,true,,913,448,5,5,204,0,183
1519295432001,195,17 /,200,OK,Thread Group 1-2,text,true,,913,448,5,5,195,0,180
1519295432002,195,17 /,200,OK,Thread Group 1-4,text,true,,913,448,5,5,195,0,178
1519295432008,190,17 /,200,OK,Thread Group 1-1,text,true,,913,448,5,5,189,0,167
1519295432193,32,20 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,32,0,0
1519295432196,30,20 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,30,0,0
1519295432197,32,20 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,32,0,0
1519295432198,32,20 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,32,0,0
1519295432198,33,20 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,33,0,0
1519295432232,441,19 /,200,OK,Thread Group 1-1,text,true,,971,445,5,5,440,0,188
1519295432231,445,19 /,200,OK,Thread Group 1-4,text,true,,971,445,5,5,445,0,190
1519295432226,451,19 /,200,OK,Thread Group 1-5,text,true,,971,445,5,5,451,0,195
1519295432227,459,19 /,200,OK,Thread Group 1-3,text,true,,971,445,5,5,458,0,194
1519295432229,459,19 /,200,OK,Thread Group 1-2,text,true,,971,445,5,5,459,0,192
1519295432675,276,18 /,200,OK,Thread Group 1-1,text,true,,971,445,5,5,276,0,0
1519295432678,274,18 /,200,OK,Thread Group 1-5,text,true,,971,445,5,5,274,0,0
1519295432678,274,18 /,200,OK,Thread Group 1-4,text,true,,971,445,5,5,274,0,0
1519295432689,264,18 /,200,OK,Thread Group 1-2,text,true,,971,445,5,5,264,0,0
1519295432687,265,18 /,200,OK,Thread Group 1-3,text,true,,971,445,5,5,265,0,0
1519295432954,278,15 /,200,OK,Thread Group 1-4,text,true,,2337,434,5,5,277,0,189
1519295432956,278,15 /,200,OK,Thread Group 1-5,text,true,,2337,434,5,5,278,0,188
1519295432957,281,15 /,200,OK,Thread Group 1-3,text,true,,2337,434,5,5,280,0,188
1519295432953,285,15 /,200,OK,Thread Group 1-1,text,true,,2337,434,5,5,285,0,194
1519295432955,287,15 /,200,OK,Thread Group 1-2,text,true,,2337,434,5,5,286,0,192
1519295433233,174,12 /,200,OK,Thread Group 1-4,text,true,,2337,434,5,5,174,0,86
1519295433235,174,12 /,200,OK,Thread Group 1-5,text,true,,2337,434,5,5,174,0,85
1519295433240,174,12 /,200,OK,Thread Group 1-1,text,true,,2337,434,5,5,173,0,85
1519295433243,173,12 /,200,OK,Thread Group 1-2,text,true,,2337,434,5,5,172,0,85
1519295433239,181,12 /,200,OK,Thread Group 1-3,text,true,,2337,434,5,5,181,0,87
1519295433409,258,21 /,200,OK,Thread Group 1-4,text,true,,295,439,5,5,258,0,0
1519295433418,257,21 /,200,OK,Thread Group 1-2,text,true,,295,439,5,5,257,0,0
1519295433411,270,21 /,200,OK,Thread Group 1-5,text,true,,295,439,5,5,270,0,0
1519295433416,278,21 /,200,OK,Thread Group 1-1,text,true,,295,439,5,5,277,0,0
1519295433669,32,22 /,200,OK,Thread Group 1-4,text,true,,318,439,5,5,32,0,0
1519295433678,33,22 /,200,OK,Thread Group 1-2,text,true,,318,439,5,5,33,0,0
1519295433682,38,22 /,200,OK,Thread Group 1-5,text,true,,318,439,5,5,38,0,0
1519295433695,33,22 /,200,OK,Thread Group 1-1,text,true,,318,439,5,5,33,0,0
1519295433702,31,23 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,31,0,0
1519295433712,33,23 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,33,0,0
1519295433422,324,21 /,200,OK,Thread Group 1-3,text,true,,295,439,5,5,324,0,0
1519295433721,31,23 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,31,0,0
1519295433728,32,23 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,32,0,0
1519295433746,30,22 /,200,OK,Thread Group 1-3,text,true,,318,439,5,5,30,0,0
1519295433777,29,23 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,29,0,0
1519295433760,627,24 /,200,OK,Thread Group 1-1,text,true,,860,438,5,5,626,0,434
1519295433746,641,24 /,200,OK,Thread Group 1-2,text,true,,860,438,5,5,641,0,448
1519295433806,582,24 /,200,OK,Thread Group 1-3,text,true,,860,438,5,5,582,0,388
1519295433752,637,24 /,200,OK,Thread Group 1-5,text,true,,860,438,5,5,636,0,443
1519295433734,656,24 /,200,OK,Thread Group 1-4,text,true,,860,438,5,5,653,0,461
1519295434389,221,25 /,200,OK,Thread Group 1-1,text,true,,1772,431,5,5,221,0,188
1519295434391,221,25 /,200,OK,Thread Group 1-5,text,true,,1772,431,5,5,221,0,187
1519295434390,224,25 /,200,OK,Thread Group 1-3,text,true,,1772,431,5,5,223,0,188
1519295434389,228,25 /,200,OK,Thread Group 1-2,text,true,,1772,431,5,5,228,0,189
1519295434392,225,25 /,200,OK,Thread Group 1-4,text,true,,1772,431,5,5,225,0,187
1519295434611,36,26 /,200,OK,Thread Group 1-1,text,true,,1772,431,5,5,36,0,0
1519295427451,7163,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-1,,true,,69812,12672,5,5,4854,34,2057
1519295434615,35,26 /,200,OK,Thread Group 1-3,text,true,,1772,431,5,5,35,0,0
1519295427859,6751,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-3,,true,,69812,12672,5,5,4621,41,1822
1519295434615,36,26 /,200,OK,Thread Group 1-5,text,true,,1772,431,5,5,36,0,0
1519295428264,6342,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-5,,true,,69812,12672,5,5,4699,46,1975
1519295434618,35,26 /,200,OK,Thread Group 1-4,text,true,,1772,431,5,5,34,0,0
1519295428061,6551,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-4,,true,,69812,12672,5,5,4708,41,1871
1519295434618,39,26 /,200,OK,Thread Group 1-2,text,true,,1772,431,5,5,39,0,0
1519295427658,6962,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-2,,true,,69812,12672,5,5,4855,37,1990
1519295434657,1703,27 /,200,OK,Thread Group 1-5,text,true,,23854,614,5,5,189,0,94
1519295434652,1703,27 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,23854,614,5,5,189,6,94
1519295436362,68,29 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,68,0,32
1519295436431,32,28 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,32,0,0
1519295436361,100,29 /,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,1576,872,5,5,100,3,32
1519295436465,168,3 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,167,0,50
1519295436634,117,2 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,117,0,0
1519295436752,122,1 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,122,0,0
1519295436875,108,4 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,108,0,0
1519295436984,165,6 /ocsp,200,OK,Thread Group 1-5,text,true,,706,434,5,5,165,0,40
1519295437150,122,5 /ocsp,200,OK,Thread Group 1-5,text,true,,706,434,5,5,122,0,0
1519295437272,115,7 /GTSGIAG3,200,OK,Thread Group 1-5,text,true,,706,432,5,5,115,0,0
1519295434655,2916,27 /,200,OK,Thread Group 1-4,text,true,,23847,614,5,5,194,0,100
1519295434653,2916,27 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,23847,614,5,5,194,3,100
1519295437573,63,29 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,63,0,32
1519295434656,3000,27 /,200,OK,Thread Group 1-3,text,true,,23852,614,5,5,219,0,111
1519295434651,3000,27 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,23852,614,5,5,219,6,111
1519295434660,3005,27 /,200,OK,Thread Group 1-2,text,true,,23853,614,5,5,207,0,103
1519295434658,3005,27 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,23853,614,5,5,207,3,103
1519295437638,32,28 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,32,0,0
1519295437572,95,29 /,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,1576,872,5,5,95,4,32
1519295434650,3046,27 /,200,OK,Thread Group 1-1,text,true,,23854,614,5,5,199,0,103
1519295434648,3046,27 /,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,23854,614,5,5,199,3,103
1519295437388,311,8 /,200,OK,Thread Group 1-5,text,true,,860,437,5,5,310,0,155
1519295437658,58,29 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,58,0,28
1519295437667,67,29 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,67,0,34
1519295437716,31,28 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,31,0,0
1519295437657,89,29 /,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,1576,872,5,5,89,2,28
1519295437698,65,29 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,65,0,32
1519295437735,31,28 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,31,0,0
1519295437666,98,29 /,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,1576,872,5,5,98,2,34
1519295437763,39,28 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,39,0,0
1519295437697,104,29 /,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,1576,872,5,5,104,1,32
1519295437673,163,3 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,163,0,33
1519295437748,147,3 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,147,0,27
1519295437766,155,3 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,155,0,37
1519295437836,114,2 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,114,0,0
1519295437803,159,3 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,159,0,37
1519295437896,103,2 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,102,0,0
1519295437921,110,2 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,110,0,0
1519295437951,113,1 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,113,0,0
1519295437963,118,2 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,118,0,0
1519295437999,109,1 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,109,0,0
1519295438032,111,1 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,111,0,0
1519295438065,115,4 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,114,0,0
1519295438082,127,1 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,127,0,0
1519295438109,122,4 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,122,0,0
1519295438143,112,4 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,111,0,0
1519295438181,139,6 /ocsp,200,OK,Thread Group 1-4,text,true,,706,434,5,5,139,0,32
1519295438209,118,4 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,118,0,0
1519295438255,145,6 /ocsp,200,OK,Thread Group 1-2,text,true,,706,434,5,5,145,0,28
1519295438232,192,6 /ocsp,200,OK,Thread Group 1-3,text,true,,706,434,5,5,192,0,46
1519295438321,110,5 /ocsp,200,OK,Thread Group 1-4,text,true,,706,434,5,5,110,0,0
1519295438328,135,6 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,5,5,135,0,28
1519295438400,117,5 /ocsp,200,OK,Thread Group 1-2,text,true,,706,434,5,5,117,0,0
1519295438432,107,7 /GTSGIAG3,200,OK,Thread Group 1-4,text,true,,706,432,5,5,107,0,0
1519295438424,132,5 /ocsp,200,OK,Thread Group 1-3,text,true,,706,434,5,5,132,0,0
1519295438465,102,5 /ocsp,200,OK,Thread Group 1-1,text,true,,706,434,5,5,102,0,0
1519295438518,119,7 /GTSGIAG3,200,OK,Thread Group 1-2,text,true,,706,432,5,5,119,0,0
1519295438557,107,7 /GTSGIAG3,200,OK,Thread Group 1-3,text,true,,706,432,5,5,107,0,0
1519295438568,122,7 /GTSGIAG3,200,OK,Thread Group 1-1,text,true,,706,432,5,5,122,0,0
1519295438540,310,8 /,200,OK,Thread Group 1-4,text,true,,860,437,5,5,310,0,153
1519295438638,317,8 /,200,OK,Thread Group 1-2,text,true,,860,437,5,5,316,0,157
1519295438665,321,8 /,200,OK,Thread Group 1-3,text,true,,860,437,5,5,320,0,160
1519295438692,319,8 /,200,OK,Thread Group 1-1,text,true,,860,437,5,5,319,0,158
1519295437703,1364,9 /click,200,OK,Thread Group 1-5,text,true,,45409,1917,5,5,325,0,160
1519295439068,172,10 /,200,OK,Thread Group 1-5,text,true,,2267,428,5,5,172,0,84
1519295439242,59,11 /,200,OK,Thread Group 1-5,text,true,,318,437,5,5,59,0,29
1519295439302,30,13 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,30,0,0
1519295439333,30,14 /,200,OK,Thread Group 1-5,text,true,,318,437,5,5,30,0,0
1519295439364,60,16 /,200,OK,Thread Group 1-5,text,true,,788,438,5,5,60,0,29
1519295439425,10,17 /,200,OK,Thread Group 1-5,text,true,,913,448,5,5,10,0,4
1519295439435,31,20 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,31,0,0
1519295439466,258,19 /,200,OK,Thread Group 1-5,text,true,,971,445,5,5,258,0,6
1519295439725,256,18 /,200,OK,Thread Group 1-5,text,true,,971,445,5,5,256,0,0
1519295439012,1140,9 /click,200,OK,Thread Group 1-1,text,true,,45409,1917,5,5,315,0,156
1519295439981,172,15 /,200,OK,Thread Group 1-5,text,true,,2337,434,5,5,171,0,83
1519295438956,1234,9 /click,200,OK,Thread Group 1-2,text,true,,45409,1917,5,5,332,0,162
1519295438851,1421,9 /click,200,OK,Thread Group 1-4,text,true,,45409,1917,5,5,314,0,153
1519295440154,170,12 /,200,OK,Thread Group 1-5,text,true,,2337,434,5,5,169,0,83
1519295440154,174,10 /,200,OK,Thread Group 1-1,text,true,,2267,428,5,5,174,0,84
1519295440325,31,21 /,200,OK,Thread Group 1-5,text,true,,318,439,5,5,31,0,0
1519295440191,172,10 /,200,OK,Thread Group 1-2,text,true,,2267,428,5,5,171,0,84
1519295440357,34,22 /,200,OK,Thread Group 1-5,text,true,,318,439,5,5,34,0,0
1519295440329,63,11 /,200,OK,Thread Group 1-1,text,true,,318,437,5,5,63,0,30
1519295440392,32,23 /,200,OK,Thread Group 1-5,text,true,,788,436,5,5,32,0,0
1519295440393,32,13 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,32,0,0
1519295440363,64,11 /,200,OK,Thread Group 1-2,text,true,,318,437,5,5,63,0,30
1519295440273,171,10 /,200,OK,Thread Group 1-4,text,true,,2267,428,5,5,171,0,84
1519295438987,1468,9 /click,200,OK,Thread Group 1-3,text,true,,45409,1917,5,5,338,0,164
1519295440426,30,14 /,200,OK,Thread Group 1-1,text,true,,318,437,5,5,30,0,0
1519295440427,32,13 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,32,0,0
1519295440459,30,14 /,200,OK,Thread Group 1-2,text,true,,318,437,5,5,30,0,0
1519295440445,62,11 /,200,OK,Thread Group 1-4,text,true,,318,437,5,5,62,0,32
1519295440456,71,16 /,200,OK,Thread Group 1-1,text,true,,788,438,5,5,71,0,35
1519295440508,30,13 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,30,0,0
1519295440528,12,17 /,200,OK,Thread Group 1-1,text,true,,913,448,5,5,12,0,5
1519295440490,61,16 /,200,OK,Thread Group 1-2,text,true,,788,438,5,5,61,0,30
1519295440552,12,17 /,200,OK,Thread Group 1-2,text,true,,913,448,5,5,12,0,6
1519295440540,32,14 /,200,OK,Thread Group 1-4,text,true,,318,437,5,5,32,0,0
1519295440542,32,20 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,32,0,0
1519295440565,30,20 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,30,0,0
1519295440456,174,10 /,200,OK,Thread Group 1-3,text,true,,2267,428,5,5,173,0,85
1519295440573,60,16 /,200,OK,Thread Group 1-4,text,true,,788,438,5,5,60,0,29
1519295440634,13,17 /,200,OK,Thread Group 1-4,text,true,,913,448,5,5,13,0,5
1519295440648,31,20 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,31,0,0
1519295440631,58,11 /,200,OK,Thread Group 1-3,text,true,,318,437,5,5,58,0,29
1519295440425,290,24 /,200,OK,Thread Group 1-5,text,true,,860,438,5,5,290,0,144
1519295440691,29,13 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,29,0,0
1519295440721,28,14 /,200,OK,Thread Group 1-3,text,true,,318,437,5,5,28,0,0
1519295440716,67,25 /,200,OK,Thread Group 1-5,text,true,,1772,431,5,5,67,0,30
1519295440749,65,16 /,200,OK,Thread Group 1-3,text,true,,788,438,5,5,65,0,34
1519295440814,9,17 /,200,OK,Thread Group 1-3,text,true,,913,448,5,5,9,0,4
1519295440576,260,19 /,200,OK,Thread Group 1-1,text,true,,971,445,5,5,260,0,7
1519295440824,31,20 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,31,0,0
1519295440596,273,19 /,200,OK,Thread Group 1-2,text,true,,971,445,5,5,273,0,7
1519295440680,264,19 /,200,OK,Thread Group 1-4,text,true,,971,445,5,5,264,0,7
1519295440784,271,26 /,200,OK,Thread Group 1-5,text,true,,1772,431,5,5,271,0,0
1519295436465,4565,3 /GTSGIAG3,200,"Number of samples in transaction : 26, number of failing samples : 0",Thread Group 1-5,,true,,69835,12814,5,5,3522,25,897
1519295440837,258,18 /,200,OK,Thread Group 1-1,text,true,,971,445,5,5,258,0,0
1519295440856,266,19 /,200,OK,Thread Group 1-3,text,true,,971,445,5,5,266,0,7
1519295440870,261,18 /,200,OK,Thread Group 1-2,text,true,,971,445,5,5,261,0,0
1519295440946,262,18 /,200,OK,Thread Group 1-4,text,true,,971,445,5,5,262,0,0
1519295441096,170,15 /,200,OK,Thread Group 1-1,text,true,,2337,434,5,5,170,0,83
1519295441132,172,15 /,200,OK,Thread Group 1-2,text,true,,2337,434,5,5,172,0,84
1519295441123,253,18 /,200,OK,Thread Group 1-3,text,true,,971,445,5,5,253,0,0
1519295441209,173,15 /,200,OK,Thread Group 1-4,text,true,,2337,434,5,5,172,0,85
1519295441266,175,12 /,200,OK,Thread Group 1-1,text,true,,2337,434,5,5,174,0,84
1519295441305,171,12 /,200,OK,Thread Group 1-2,text,true,,2337,434,5,5,170,0,84
1519295441441,36,21 /,200,OK,Thread Group 1-1,text,true,,318,439,5,5,36,0,0
1519295441477,31,21 /,200,OK,Thread Group 1-2,text,true,,318,439,5,5,31,0,0
1519295441478,37,22 /,200,OK,Thread Group 1-1,text,true,,318,439,5,5,37,0,0
1519295441508,30,22 /,200,OK,Thread Group 1-2,text,true,,318,439,5,5,30,0,0
1519295441516,30,23 /,200,OK,Thread Group 1-1,text,true,,788,436,5,5,30,0,0
1519295441377,173,15 /,200,OK,Thread Group 1-3,text,true,,2337,434,5,5,173,0,84
1519295441382,170,12 /,200,OK,Thread Group 1-4,text,true,,2337,434,5,5,170,0,83
1519295441539,30,23 /,200,OK,Thread Group 1-2,text,true,,788,436,5,5,30,0,0
1519295441553,29,21 /,200,OK,Thread Group 1-4,text,true,,318,439,5,5,29,0,0
1519295441582,30,22 /,200,OK,Thread Group 1-4,text,true,,318,439,5,5,30,0,0
1519295441613,30,23 /,200,OK,Thread Group 1-4,text,true,,788,436,5,5,30,0,0
1519295441550,191,12 /,200,OK,Thread Group 1-3,text,true,,2337,434,5,5,169,0,83
1519295441742,33,21 /,200,OK,Thread Group 1-3,text,true,,318,439,5,5,33,0,0
1519295441775,30,22 /,200,OK,Thread Group 1-3,text,true,,318,439,5,5,30,0,0
1519295441806,31,23 /,200,OK,Thread Group 1-3,text,true,,788,436,5,5,31,0,0
1519295441569,305,24 /,200,OK,Thread Group 1-2,text,true,,860,438,5,5,304,0,151
1519295441547,328,24 /,200,OK,Thread Group 1-1,text,true,,860,438,5,5,328,0,163
